Part number;Size;Colour;Barcode;File name;Short description;Long description;RRP;VAT;Trade;Box Qty;Brand;Search 1;Search 2;Cat A;Cat B;Cat C;Year;Item group;Retail group;Product group;Net price 440056;Net price 450141;Net price 411578
"540000023";42;Gold;"4713250004259";;CADEX 42 RIM BRAKE DECAL GOLD FOR ONE WHEEL;;24.99;20,00;20.83;1;CADEX;Protector, sticker;;Gear;Bike Gear;Men's;2022;205G;Cadex;21cadexwheeldecals;20,83;20,83;20,83
"540000024";42;Gold;"4713250004266";;CADEX 42 DISC BRAKE DECAL GOLD FOR ONE WHEEL;;24.99;20,00;20.83;1;CADEX;Protector, sticker;;Gear;Bike Gear;Men's;2021;205G;Cadex;21cadexwheeldecals;20,83;20,83;20,83
"540000025";65mm;Gold;"4713250004273";;CADEX 65 RIM BRAKE DECAL GOLD FOR ONE WHEEL;;24.99;20,00;20.83;1;CADEX;Protector, sticker;;Gear;Bike Gear;Men's;2022;205G;Cadex;21cadexwheeldecals;20,83;20,83;20,83
"540000047";36;White;"4713250035208";;CADEX AR/36 DB DECAL WHITE FOR 1 WHEEL;;24.99;20,00;13.54;1;CADEX;Protector, sticker;;Gear;Bike Gear;Men's;2023;205G;Cadex;;13,54;13,54;13,54
"600000058";OSO;;"4713250851723";;CADEX SPOKE HOLDER;;24.99;20,00;13.54;1;CADEX;Hand tool;;Gear;Service Gear;Men's;2022;251A;Cadex;20cadexspokeolder;13,54;13,54;13,54
"850004872";S;Camo;"4713250027036";;CADEX SILVER SS JERSEY CAMO S;;109.99;20,00;40.62;1;CADEX;Short Sleeve Jersey;;Gear;Rider Gear;Men's;0;106B;Cadex;22cadexssjerseycamo;40,62;40,62;40,62
"850004873";M;Camo;"4713250027043";;CADEX SILVER SS JERSEY CAMO M;;109.99;20,00;40.62;1;CADEX;Short Sleeve Jersey;;Gear;Rider Gear;Men's;0;106B;Cadex;22cadexssjerseycamo;40,62;40,62;40,62
"850004874";L;Camo;"4713250027050";;CADEX SILVER SS JERSEY CAMO L;;109.99;20,00;40.62;1;CADEX;Short Sleeve Jersey;;Gear;Rider Gear;Men's;0;106B;Cadex;22cadexssjerseycamo;40,62;40,62;40,62
"850004875";XL;Camo;"4713250027067";;CADEX SILVER SS JERSEY CAMO XL;;109.99;20,00;40.62;1;CADEX;Short Sleeve Jersey;;Gear;Rider Gear;Men's;0;106B;Cadex;22cadexssjerseycamo;40,62;40,62;40,62
"850004876";XXL;Camo;"4713250027074";;CADEX SILVER SS JERSEY CAMO XXL;;109.99;20,00;40.62;1;CADEX;Short Sleeve Jersey;;Gear;Rider Gear;Men's;0;106B;Cadex;22cadexssjerseycamo;40,62;40,62;40,62
"850004884";S;Dark Grey;"4713250027159";;CADEX SILVER SS JERSEY DARK GREY S;;109.99;20,00;40.62;1;CADEX;Short Sleeve Jersey;;Gear;Rider Gear;Men's;2022;106B;Cadex;cadexracejersey;40,62;40,62;40,62
"850004885";M;Dark Grey;"4713250027166";;CADEX SILVER SS JERSEY DARK GREY M;;109.99;20,00;40.62;1;CADEX;Short Sleeve Jersey;;Gear;Rider Gear;Men's;2022;106B;Cadex;cadexracejersey;40,62;40,62;40,62
"850004886";L;Dark Grey;"4713250027173";;CADEX SILVER SS JERSEY DARK GREY L;;109.99;20,00;40.62;1;CADEX;Short Sleeve Jersey;;Gear;Rider Gear;Men's;2022;106B;Cadex;cadexracejersey;40,62;40,62;40,62
"850004887";XL;Dark Grey;"4713250027180";;CADEX SILVER SS JERSEY DARK GREY XL;;109.99;20,00;40.62;1;CADEX;Short Sleeve Jersey;;Gear;Rider Gear;Men's;2022;106B;Cadex;cadexracejersey;40,62;40,62;40,62
